,Run,HiddenLayer,Accuracy
0,1,"[19, 30]",0.8690476275625683
1,2,"[29, 38]",0.9149660013970875
2,3,"[47, 21, 37]",0.8460884477410997
3,4,"[20, 13, 29]",0.8962585173902058
4,5,"[22, 23]",0.8537415010588509
