,lsvm,rbfsvm,MLP
0,0.42000000000000004,0.45999999999999996,0.5900000000000001
1,0.42,0.45999999999999996,0.5950000000000002
2,0.42,0.46000000000000013,0.6
3,0.4200000000000001,0.4600000000000002,0.5924999999999999
4,0.4200000000000001,0.46000000000000013,0.5839999999999999
5,0.4200000000000001,0.46000000000000013,0.5833333333333333
6,0.42000000000000004,0.4600000000000001,0.5785714285714285
7,0.42000000000000004,0.4600000000000001,0.5800000000000001
8,0.42000000000000004,0.4600000000000001,0.5744444444444445
9,0.42000000000000004,0.4600000000000001,0.5710000000000001
